location,events,borough
Laura Pels Theatre,1,Manhattan
Luther Gulick Playground,1,Manhattan
MADISON STREET between LEWIS AVENUE and MARCUS GARVEY BOULEVARD,1,Brooklyn
"MAPLE AVENUE between FRAME PLACE and MAIN STREET,  MAPLE AVENUE between FRAME PLACE and MAIN STREET,  MAIN STREET between MAPLE AVENUE and ROOSEVELT AVENUE, 136-20 ROOSEVELT AVENUE,136-20 ROOSEVELT AVENUE",1,Queens
MARCONI PLACE between HERKIMER STREET and ATLANTIC AVENUE,1,Brooklyn
MARCY AVENUE between LEXINGTON AVENUE and LAFAYETTE AVENUE,1,Brooklyn
MARCY AVENUE between WOODROW ROAD and WEST CASTOR PLACE,1,Staten Island
MENAHAN STREET between CYPRESS AVENUE and SENECA AVENUE,1,Queens
MERCER STREET between PRINCE STREET and SPRING STREET,1,Manhattan
MICKLE AVENUE between GIVAN AVENUE and BURKE AVENUE,1,Bronx
MIDWOOD STREET between NEW YORK AVENUE and NOSTRAND AVENUE,1,Brooklyn
MOFFETT STREET between ARDEN AVENUE and RYE AVENUE,1,Staten Island
MONTGOMERY STREET between NOSTRAND AVENUE and ROGERS AVENUE,1,Brooklyn
MOSCO STREET between MOTT STREET and MULBERRY STREET,1,Manhattan
MOUNT CARMEL PLACE between EAST   26 STREET and EAST   28 STREET,1,Manhattan
Mitchell Square,1,Manhattan
NEW YORK AVENUE between CLARENDON ROAD and AVENUE D,1,Brooklyn
"NORMAN AVENUE between DOBBIN STREET and BANKER STREET,  NORMAN AVENUE between DOBBIN STREET and BANKER STREET,  BANKER STREET between NORMAN AVENUE and MESEROLE AVENUE,  BANKER STREET between NORMAN AVENUE and MESEROLE AVENUE",1,Brooklyn
NORTHERN BOULEVARD between LEAVITT STREET and LINDEN PLACE,1,Queens
